STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2012 January,Cooked ham per kg,Euro,16.341
National Average Price,2012 January,Best back rashers per kg,Euro,10.349
National Average Price,2012 January,Pork sausages per kg,Euro,5.431
National Average Price,2012 January,Fresh fillet of whiting per kg,Euro,10.671
National Average Price,2012 January,Fresh fillet of cod per kg,Euro,16.591
National Average Price,2012 January,Fresh salmon per kg,Euro,14.077
National Average Price,2012 January,Fresh fillet of plaice per kg,Euro,17.932
National Average Price,2012 January,Fresh hake per kg,Euro,
National Average Price,2012 January,Smoked salmon per kg,Euro,24.552
National Average Price,2012 January,Full fat milk per 2 litre,Euro,1.778
National Average Price,2012 January,Low fat milk per 1 litre,Euro,1.055
National Average Price,2012 January,Irish cheddar per kg,Euro,10.701
National Average Price,2012 January,Large eggs per half dozen,Euro,1.813
National Average Price,2012 January,Medium eggs per half dozen,Euro,1.559
National Average Price,2012 January,Butter per lb,Euro,2.769
National Average Price,2012 January,Grapes per kg,Euro,6.154
National Average Price,2012 January,Bananas per kg,Euro,1.33
National Average Price,2012 January,Tomatoes per kg,Euro,2.768
National Average Price,2012 January,Onions per kg,Euro,1.215
National Average Price,2012 January,Broccoli per kg,Euro,2.714
National Average Price,2012 January,Carrots per kg,Euro,1.183
National Average Price,2012 January,Mushrooms per kg,Euro,4.282
National Average Price,2012 January,Tomatoes tinned per 400g,Euro,0.844
National Average Price,2012 January,Potatoes 2.5 kg,Euro,3.06
National Average Price,2012 January,Potatoes 7.5 kg,Euro,
National Average Price,2012 January,Potatoes 10 kg,Euro,5.064
National Average Price,2012 January,White granulated sugar per 1 kg,Euro,1.299
National Average Price,2012 January,Jam per lb,Euro,1.765
National Average Price,2012 January,Marmalade per lb,Euro,1.874
National Average Price,2012 January,Tea bags per 80,Euro,2.788
National Average Price,2012 January,Orange juice per litre,Euro,1.346
National Average Price,2012 January,Whiskey - take home (70cl bottle),Euro,21.957
National Average Price,2012 January,Brandy - take home (70cl bottle),Euro,25.681
National Average Price,2012 January,Vodka - take home (70cl bottle),Euro,17.791
National Average Price,2012 January,Cream liqueur - take home (70cl bottle),Euro,15.331
National Average Price,2012 January,Wine - take home (75cl bottle),Euro,8.953
National Average Price,2012 January,Cider - take home (50cl can),Euro,2.125
National Average Price,2012 January,Sherry - take home (75cl bottle),Euro,11.302
National Average Price,2012 January,Lager - take home (50cl can),Euro,1.778
National Average Price,2012 January,Stout - take home (50cl can),Euro,2.036
National Average Price,2012 January,Filtered cigarettes per 20 pk,Euro,9.014
National Average Price,2012 January,Stout - draught bar (1 pint),Euro,3.963
National Average Price,2012 January,Lager - draught bar (1 pint),Euro,4.276
National Average Price,2012 January,Lager - bar (33cl bottle),Euro,4.351
National Average Price,2012 January,Cider - draught bar (1 pint),Euro,4.471
National Average Price,2012 January,Ale - draught bar (1 pint),Euro,4.005
National Average Price,2012 January,Cider - bar (33cl bottle),Euro,4.472
National Average Price,2012 January,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.167
National Average Price,2012 January,Whiskey - bar (single) per ½ glass,Euro,3.703
National Average Price,2012 January,Brandy - bar (single) per ½ glass,Euro,4.271
National Average Price,2012 January,Vodka - bar (single) per ½ glass,Euro,3.764
National Average Price,2012 January,Wine - bar (187ml bottle),Euro,4.844
National Average Price,2012 January,Diesel per litre,Euro,1.529
National Average Price,2012 January,Petrol - unleaded per litre,Euro,1.542
National Average Price,2012 January,Cinema fee,Euro,8.795
National Average Price,2012 January,Nightclubs fee,Euro,9.715
National Average Price,2012 January,Gent's dry cut fee,Euro,11.643
National Average Price,2012 January,"Gent's wash, cut, and blow dry fee",Euro,18.585
National Average Price,2012 January,"Ladies' wash, cut and blow dry fee",Euro,38.67
National Average Price,2012 February,"White, self raising flour per 2 kg",Euro,2.146
National Average Price,2012 February,"Brown, wholemeal flour per 2 kg",Euro,2.466
National Average Price,2012 February,"Bread, white sliced pan, large (800g)",Euro,1.275
National Average Price,2012 February,"Bread, brown sliced pan, large (800g)",Euro,1.541
National Average Price,2012 February,Spaghetti per 500g,Euro,1.186
National Average Price,2012 February,Sirloin steak per kg,Euro,15.112
National Average Price,2012 February,Striploin steak per kg,Euro,20.077
National Average Price,2012 February,Roast beef - topside or rib per kg,Euro,11.389
National Average Price,2012 February,Sliced / diced beef pieces per kg,Euro,9.969
National Average Price,2012 February,Pork loin chops per kg,Euro,8.419
National Average Price,2012 February,Pork steak per kg,Euro,9.079
National Average Price,2012 February,Lamb - whole leg / half leg per kg,Euro,11.197
National Average Price,2012 February,Lamb loin chops per kg,Euro,18.169
National Average Price,2012 February,Lamb gigot chops per kg,Euro,12.922
National Average Price,2012 February,Uncooked chicken medium size 1.6kg,Euro,5.51
National Average Price,2012 February,Lamb's liver per kg,Euro,5.524
National Average Price,2012 February,Ham fillet per kg,Euro,6.041
National Average Price,2012 February,Cooked ham per kg,Euro,15.955
National Average Price,2012 February,Best back rashers per kg,Euro,10.775
National Average Price,2012 February,Pork sausages per kg,Euro,5.461
National Average Price,2012 February,Fresh fillet of whiting per kg,Euro,10.48
National Average Price,2012 February,Fresh fillet of cod per kg,Euro,13.921
National Average Price,2012 February,Fresh salmon per kg,Euro,13.125
National Average Price,2012 February,Fresh fillet of plaice per kg,Euro,16.059
National Average Price,2012 February,Fresh hake per kg,Euro,
National Average Price,2012 February,Smoked salmon per kg,Euro,24.472
National Average Price,2012 February,Full fat milk per 2 litre,Euro,1.775
National Average Price,2012 February,Low fat milk per 1 litre,Euro,1.05
National Average Price,2012 February,Irish cheddar per kg,Euro,11.368
National Average Price,2012 February,Large eggs per half dozen,Euro,1.814
National Average Price,2012 February,Medium eggs per half dozen,Euro,1.568
National Average Price,2012 February,Butter per lb,Euro,2.771
National Average Price,2012 February,Grapes per kg,Euro,6.338
National Average Price,2012 February,Bananas per kg,Euro,1.359
National Average Price,2012 February,Tomatoes per kg,Euro,2.874
National Average Price,2012 February,Onions per kg,Euro,1.206
National Average Price,2012 February,Broccoli per kg,Euro,3.012
National Average Price,2012 February,Carrots per kg,Euro,1.193
National Average Price,2012 February,Mushrooms per kg,Euro,4.289
National Average Price,2012 February,Tomatoes tinned per 400g,Euro,0.845
National Average Price,2012 February,Potatoes 2.5 kg,Euro,3.11
National Average Price,2012 February,Potatoes 7.5 kg,Euro,
National Average Price,2012 February,Potatoes 10 kg,Euro,5.272
National Average Price,2012 February,White granulated sugar per 1 kg,Euro,1.337
