STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2015 December,Roast beef - topside or rib per kg,Euro,13.057
National Average Price,2015 December,Sliced / diced beef pieces per kg,Euro,10.421
National Average Price,2015 December,Pork loin chops per kg,Euro,7.409
National Average Price,2015 December,Pork steak per kg,Euro,9.333
National Average Price,2015 December,Lamb - whole leg / half leg per kg,Euro,11.231
National Average Price,2015 December,Lamb loin chops per kg,Euro,18.384
National Average Price,2015 December,Lamb gigot chops per kg,Euro,12.587
National Average Price,2015 December,Uncooked chicken medium size 1.6kg,Euro,5.177
National Average Price,2015 December,Lamb's liver per kg,Euro,5.917
National Average Price,2015 December,Ham fillet per kg,Euro,5.761
National Average Price,2015 December,Cooked ham per kg,Euro,16.651
National Average Price,2015 December,Best back rashers per kg,Euro,9.785
National Average Price,2015 December,Pork sausages per kg,Euro,5.961
National Average Price,2015 December,Fresh fillet of whiting per kg,Euro,10.925
National Average Price,2015 December,Fresh fillet of cod per kg,Euro,17.714
National Average Price,2015 December,Fresh salmon per kg,Euro,19.179
National Average Price,2015 December,Fresh fillet of plaice per kg,Euro,18.766
National Average Price,2015 December,Fresh hake per kg,Euro,
National Average Price,2015 December,Smoked salmon per kg,Euro,28.356
National Average Price,2015 December,Full fat milk per 2 litre,Euro,1.72
National Average Price,2015 December,Low fat milk per 1 litre,Euro,1.052
National Average Price,2015 December,Irish cheddar per kg,Euro,10.623
National Average Price,2015 December,Large eggs per half dozen,Euro,1.863
National Average Price,2015 December,Medium eggs per half dozen,Euro,1.623
National Average Price,2015 December,Butter per lb,Euro,2.725
National Average Price,2015 December,Grapes per kg,Euro,4.992
National Average Price,2015 December,Bananas per kg,Euro,1.382
National Average Price,2015 December,Tomatoes per kg,Euro,2.954
National Average Price,2015 December,Onions per kg,Euro,1.113
National Average Price,2015 December,Broccoli per kg,Euro,3.123
National Average Price,2015 December,Carrots per kg,Euro,1.301
National Average Price,2015 December,Mushrooms per kg,Euro,4.289
National Average Price,2015 December,Tomatoes tinned per 400g,Euro,0.891
National Average Price,2015 December,Potatoes 2.5 kg,Euro,3.094
National Average Price,2015 December,Potatoes 7.5 kg,Euro,
National Average Price,2015 December,Potatoes 10 kg,Euro,7.563
National Average Price,2015 December,White granulated sugar per 1 kg,Euro,1.282
National Average Price,2015 December,Jam per lb,Euro,1.415
National Average Price,2015 December,Marmalade per lb,Euro,1.862
National Average Price,2015 December,Tea bags per 80,Euro,2.719
National Average Price,2015 December,Orange juice per litre,Euro,1.559
National Average Price,2015 December,Whiskey - take home (70cl bottle),Euro,22.518
National Average Price,2015 December,Brandy - take home (70cl bottle),Euro,27.532
National Average Price,2015 December,Vodka - take home (70cl bottle),Euro,18.135
National Average Price,2015 December,Cream liqueur - take home (70cl bottle),Euro,13.081
National Average Price,2015 December,Wine - take home (75cl bottle),Euro,9.979
National Average Price,2015 December,Cider - take home (50cl can),Euro,2.246
National Average Price,2015 December,Sherry - take home (75cl bottle),Euro,13.358
National Average Price,2015 December,Lager - take home (50cl can),Euro,1.905
National Average Price,2015 December,Stout - take home (50cl can),Euro,2.216
National Average Price,2015 December,Filtered cigarettes per 20 pk,Euro,10.5
National Average Price,2015 December,Stout - draught bar (1 pint),Euro,4.316
National Average Price,2015 December,Lager - draught bar (1 pint),Euro,4.693
National Average Price,2015 December,Lager - bar (33cl bottle),Euro,4.611
National Average Price,2015 December,Cider - draught bar (1 pint),Euro,4.75
National Average Price,2015 December,Ale - draught bar (1 pint),Euro,4.372
National Average Price,2015 December,Cider - bar (33cl bottle),Euro,4.744
National Average Price,2015 December,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.339
National Average Price,2015 December,Whiskey - bar (single) per ½ glass,Euro,4.101
National Average Price,2015 December,Brandy - bar (single) per ½ glass,Euro,4.599
National Average Price,2015 December,Vodka - bar (single) per ½ glass,Euro,4.138
National Average Price,2015 December,Wine - bar (187ml bottle),Euro,5.323
National Average Price,2015 December,Diesel per litre,Euro,1.187
National Average Price,2015 December,Petrol - unleaded per litre,Euro,1.302
National Average Price,2015 December,Cinema fee,Euro,9.165
National Average Price,2015 December,Nightclubs fee,Euro,9.109
National Average Price,2015 December,Gent's dry cut fee,Euro,11.844
National Average Price,2015 December,"Gent's wash, cut, and blow dry fee",Euro,17.87
National Average Price,2015 December,"Ladies' wash, cut and blow dry fee",Euro,38.25
National Average Price,2016 January,"White, self raising flour per 2 kg",Euro,2.378
National Average Price,2016 January,"Brown, wholemeal flour per 2 kg",Euro,3.033
National Average Price,2016 January,"Bread, white sliced pan, large (800g)",Euro,1.263
National Average Price,2016 January,"Bread, brown sliced pan, large (800g)",Euro,1.352
National Average Price,2016 January,Spaghetti per 500g,Euro,1.104
National Average Price,2016 January,Sirloin steak per kg,Euro,16.277
National Average Price,2016 January,Striploin steak per kg,Euro,23.213
National Average Price,2016 January,Roast beef - topside or rib per kg,Euro,12.293
National Average Price,2016 January,Sliced / diced beef pieces per kg,Euro,9.981
National Average Price,2016 January,Pork loin chops per kg,Euro,7.91
National Average Price,2016 January,Pork steak per kg,Euro,9.46
National Average Price,2016 January,Lamb - whole leg / half leg per kg,Euro,11.217
National Average Price,2016 January,Lamb loin chops per kg,Euro,18.2
National Average Price,2016 January,Lamb gigot chops per kg,Euro,12.708
National Average Price,2016 January,Uncooked chicken medium size 1.6kg,Euro,4.939
National Average Price,2016 January,Lamb's liver per kg,Euro,5.917
National Average Price,2016 January,Ham fillet per kg,Euro,5.918
National Average Price,2016 January,Cooked ham per kg,Euro,16.916
National Average Price,2016 January,Best back rashers per kg,Euro,9.807
National Average Price,2016 January,Pork sausages per kg,Euro,5.902
National Average Price,2016 January,Fresh fillet of whiting per kg,Euro,10.986
National Average Price,2016 January,Fresh fillet of cod per kg,Euro,17.422
National Average Price,2016 January,Fresh salmon per kg,Euro,18.944
National Average Price,2016 January,Fresh fillet of plaice per kg,Euro,19.453
National Average Price,2016 January,Fresh hake per kg,Euro,
National Average Price,2016 January,Smoked salmon per kg,Euro,28.769
National Average Price,2016 January,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016 January,Low fat milk per 1 litre,Euro,1.05
National Average Price,2016 January,Irish cheddar per kg,Euro,10.205
National Average Price,2016 January,Large eggs per half dozen,Euro,1.849
National Average Price,2016 January,Medium eggs per half dozen,Euro,1.616
National Average Price,2016 January,Butter per lb,Euro,2.727
National Average Price,2016 January,Grapes per kg,Euro,5.075
National Average Price,2016 January,Bananas per kg,Euro,1.389
National Average Price,2016 January,Tomatoes per kg,Euro,2.976
National Average Price,2016 January,Onions per kg,Euro,1.109
National Average Price,2016 January,Broccoli per kg,Euro,3.157
National Average Price,2016 January,Carrots per kg,Euro,1.316
National Average Price,2016 January,Mushrooms per kg,Euro,4.202
National Average Price,2016 January,Tomatoes tinned per 400g,Euro,0.906
National Average Price,2016 January,Potatoes 2.5 kg,Euro,3.133
National Average Price,2016 January,Potatoes 7.5 kg,Euro,
National Average Price,2016 January,Potatoes 10 kg,Euro,7.244
National Average Price,2016 January,White granulated sugar per 1 kg,Euro,1.28
National Average Price,2016 January,Jam per lb,Euro,1.383
National Average Price,2016 January,Marmalade per lb,Euro,1.922
National Average Price,2016 January,Tea bags per 80,Euro,2.719
National Average Price,2016 January,Orange juice per litre,Euro,1.555
National Average Price,2016 January,Whiskey - take home (70cl bottle),Euro,26.51
National Average Price,2016 January,Brandy - take home (70cl bottle),Euro,30.4
National Average Price,2016 January,Vodka - take home (70cl bottle),Euro,19.19
National Average Price,2016 January,Cream liqueur - take home (70cl bottle),Euro,15.71
National Average Price,2016 January,Wine - take home (75cl bottle),Euro,10.726
National Average Price,2016 January,Cider - take home (50cl can),Euro,2.247
National Average Price,2016 January,Sherry - take home (75cl bottle),Euro,14.222
National Average Price,2016 January,Lager - take home (50cl can),Euro,1.91
National Average Price,2016 January,Stout - take home (50cl can),Euro,2.235
National Average Price,2016 January,Filtered cigarettes per 20 pk,Euro,10.499
National Average Price,2016 January,Stout - draught bar (1 pint),Euro,4.318
National Average Price,2016 January,Lager - draught bar (1 pint),Euro,4.696
National Average Price,2016 January,Lager - bar (33cl bottle),Euro,4.613
National Average Price,2016 January,Cider - draught bar (1 pint),Euro,4.756
National Average Price,2016 January,Ale - draught bar (1 pint),Euro,4.374
National Average Price,2016 January,Cider - bar (33cl bottle),Euro,4.728
National Average Price,2016 January,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.343
National Average Price,2016 January,Whiskey - bar (single) per ½ glass,Euro,4.105
National Average Price,2016 January,Brandy - bar (single) per ½ glass,Euro,4.612
National Average Price,2016 January,Vodka - bar (single) per ½ glass,Euro,4.142
National Average Price,2016 January,Wine - bar (187ml bottle),Euro,5.336
National Average Price,2016 January,Diesel per litre,Euro,1.123
National Average Price,2016 January,Petrol - unleaded per litre,Euro,1.257
National Average Price,2016 January,Cinema fee,Euro,9.132
National Average Price,2016 January,Nightclubs fee,Euro,9.038
National Average Price,2016 January,Gent's dry cut fee,Euro,11.871
National Average Price,2016 January,"Gent's wash, cut, and blow dry fee",Euro,17.896
National Average Price,2016 January,"Ladies' wash, cut and blow dry fee",Euro,38.154
National Average Price,2016 February,"White, self raising flour per 2 kg",Euro,2.396
National Average Price,2016 February,"Brown, wholemeal flour per 2 kg",Euro,3.04
National Average Price,2016 February,"Bread, white sliced pan, large (800g)",Euro,1.272
National Average Price,2016 February,"Bread, brown sliced pan, large (800g)",Euro,1.344
National Average Price,2016 February,Spaghetti per 500g,Euro,1.108
National Average Price,2016 February,Sirloin steak per kg,Euro,15.934
National Average Price,2016 February,Striploin steak per kg,Euro,22.563
National Average Price,2016 February,Roast beef - topside or rib per kg,Euro,13.058
National Average Price,2016 February,Sliced / diced beef pieces per kg,Euro,10.409
National Average Price,2016 February,Pork loin chops per kg,Euro,8.237
National Average Price,2016 February,Pork steak per kg,Euro,9.446
National Average Price,2016 February,Lamb - whole leg / half leg per kg,Euro,12.009
National Average Price,2016 February,Lamb loin chops per kg,Euro,18.014
National Average Price,2016 February,Lamb gigot chops per kg,Euro,12.793
National Average Price,2016 February,Uncooked chicken medium size 1.6kg,Euro,4.798
National Average Price,2016 February,Lamb's liver per kg,Euro,5.885
National Average Price,2016 February,Ham fillet per kg,Euro,5.823
National Average Price,2016 February,Cooked ham per kg,Euro,16.988
National Average Price,2016 February,Best back rashers per kg,Euro,9.834
National Average Price,2016 February,Pork sausages per kg,Euro,6
National Average Price,2016 February,Fresh fillet of whiting per kg,Euro,10.995
National Average Price,2016 February,Fresh fillet of cod per kg,Euro,13.804
National Average Price,2016 February,Fresh salmon per kg,Euro,16.878
National Average Price,2016 February,Fresh fillet of plaice per kg,Euro,18.791
National Average Price,2016 February,Fresh hake per kg,Euro,
National Average Price,2016 February,Smoked salmon per kg,Euro,28.979
National Average Price,2016 February,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016 February,Low fat milk per 1 litre,Euro,1.055
National Average Price,2016 February,Irish cheddar per kg,Euro,10.466
National Average Price,2016 February,Large eggs per half dozen,Euro,1.784
National Average Price,2016 February,Medium eggs per half dozen,Euro,1.537
National Average Price,2016 February,Butter per lb,Euro,2.72
National Average Price,2016 February,Grapes per kg,Euro,5.077
National Average Price,2016 February,Bananas per kg,Euro,1.382
National Average Price,2016 February,Tomatoes per kg,Euro,2.984
National Average Price,2016 February,Onions per kg,Euro,1.119
National Average Price,2016 February,Broccoli per kg,Euro,3.078
National Average Price,2016 February,Carrots per kg,Euro,1.33
National Average Price,2016 February,Mushrooms per kg,Euro,4.445
National Average Price,2016 February,Tomatoes tinned per 400g,Euro,0.872
National Average Price,2016 February,Potatoes 2.5 kg,Euro,3.109
National Average Price,2016 February,Potatoes 7.5 kg,Euro,
National Average Price,2016 February,Potatoes 10 kg,Euro,7.283
National Average Price,2016 February,White granulated sugar per 1 kg,Euro,1.276
National Average Price,2016 February,Jam per lb,Euro,1.401
National Average Price,2016 February,Marmalade per lb,Euro,1.92
National Average Price,2016 February,Tea bags per 80,Euro,2.776
National Average Price,2016 February,Orange juice per litre,Euro,1.54
National Average Price,2016 February,Whiskey - take home (70cl bottle),Euro,26.35
National Average Price,2016 February,Brandy - take home (70cl bottle),Euro,31.324
National Average Price,2016 February,Vodka - take home (70cl bottle),Euro,19.298
National Average Price,2016 February,Cream liqueur - take home (70cl bottle),Euro,15.962
National Average Price,2016 February,Wine - take home (75cl bottle),Euro,10.8
National Average Price,2016 February,Cider - take home (50cl can),Euro,2.24
National Average Price,2016 February,Sherry - take home (75cl bottle),Euro,14.281
National Average Price,2016 February,Lager - take home (50cl can),Euro,1.905
National Average Price,2016 February,Stout - take home (50cl can),Euro,2.237
National Average Price,2016 February,Filtered cigarettes per 20 pk,Euro,10.511
National Average Price,2016 February,Stout - draught bar (1 pint),Euro,4.32
National Average Price,2016 February,Lager - draught bar (1 pint),Euro,4.698
National Average Price,2016 February,Lager - bar (33cl bottle),Euro,4.615
National Average Price,2016 February,Cider - draught bar (1 pint),Euro,4.755
National Average Price,2016 February,Ale - draught bar (1 pint),Euro,4.378
National Average Price,2016 February,Cider - bar (33cl bottle),Euro,4.733
National Average Price,2016 February,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.311
National Average Price,2016 February,Whiskey - bar (single) per ½ glass,Euro,4.109
National Average Price,2016 February,Brandy - bar (single) per ½ glass,Euro,4.613
National Average Price,2016 February,Vodka - bar (single) per ½ glass,Euro,4.146
National Average Price,2016 February,Wine - bar (187ml bottle),Euro,5.343
National Average Price,2016 February,Diesel per litre,Euro,1.057
National Average Price,2016 February,Petrol - unleaded per litre,Euro,1.218
National Average Price,2016 February,Cinema fee,Euro,9.147
National Average Price,2016 February,Nightclubs fee,Euro,9.215
National Average Price,2016 February,Gent's dry cut fee,Euro,11.892
National Average Price,2016 February,"Gent's wash, cut, and blow dry fee",Euro,17.823
National Average Price,2016 February,"Ladies' wash, cut and blow dry fee",Euro,38.358
National Average Price,2016 March,"White, self raising flour per 2 kg",Euro,2.293
National Average Price,2016 March,"Brown, wholemeal flour per 2 kg",Euro,3.044
National Average Price,2016 March,"Bread, white sliced pan, large (800g)",Euro,1.27
National Average Price,2016 March,"Bread, brown sliced pan, large (800g)",Euro,1.338
National Average Price,2016 March,Spaghetti per 500g,Euro,1.135
National Average Price,2016 March,Sirloin steak per kg,Euro,15.248
National Average Price,2016 March,Striploin steak per kg,Euro,21.705
National Average Price,2016 March,Roast beef - topside or rib per kg,Euro,13.557
National Average Price,2016 March,Sliced / diced beef pieces per kg,Euro,10.559
National Average Price,2016 March,Pork loin chops per kg,Euro,8.377
National Average Price,2016 March,Pork steak per kg,Euro,8.8
National Average Price,2016 March,Lamb - whole leg / half leg per kg,Euro,11.345
National Average Price,2016 March,Lamb loin chops per kg,Euro,17.904
National Average Price,2016 March,Lamb gigot chops per kg,Euro,12.962
National Average Price,2016 March,Uncooked chicken medium size 1.6kg,Euro,4.626
National Average Price,2016 March,Lamb's liver per kg,Euro,5.878
National Average Price,2016 March,Ham fillet per kg,Euro,5.773
National Average Price,2016 March,Cooked ham per kg,Euro,16.841
National Average Price,2016 March,Best back rashers per kg,Euro,9.85
National Average Price,2016 March,Pork sausages per kg,Euro,6.06
National Average Price,2016 March,Fresh fillet of whiting per kg,Euro,10.48
National Average Price,2016 March,Fresh fillet of cod per kg,Euro,15.719
National Average Price,2016 March,Fresh salmon per kg,Euro,19.173
National Average Price,2016 March,Fresh fillet of plaice per kg,Euro,18.69
National Average Price,2016 March,Fresh hake per kg,Euro,
National Average Price,2016 March,Smoked salmon per kg,Euro,29.233
National Average Price,2016 March,Full fat milk per 2 litre,Euro,1.713
National Average Price,2016 March,Low fat milk per 1 litre,Euro,1.051
National Average Price,2016 March,Irish cheddar per kg,Euro,10.936
National Average Price,2016 March,Large eggs per half dozen,Euro,1.779
National Average Price,2016 March,Medium eggs per half dozen,Euro,1.515
National Average Price,2016 March,Butter per lb,Euro,2.698
National Average Price,2016 March,Grapes per kg,Euro,5.111
National Average Price,2016 March,Bananas per kg,Euro,1.385
National Average Price,2016 March,Tomatoes per kg,Euro,2.971
National Average Price,2016 March,Onions per kg,Euro,1.113
National Average Price,2016 March,Broccoli per kg,Euro,3.187
National Average Price,2016 March,Carrots per kg,Euro,1.328
National Average Price,2016 March,Mushrooms per kg,Euro,4.366
National Average Price,2016 March,Tomatoes tinned per 400g,Euro,0.913
National Average Price,2016 March,Potatoes 2.5 kg,Euro,3.114
National Average Price,2016 March,Potatoes 7.5 kg,Euro,
National Average Price,2016 March,Potatoes 10 kg,Euro,7.348
National Average Price,2016 March,White granulated sugar per 1 kg,Euro,1.283
National Average Price,2016 March,Jam per lb,Euro,1.408
National Average Price,2016 March,Marmalade per lb,Euro,1.977
National Average Price,2016 March,Tea bags per 80,Euro,2.817
National Average Price,2016 March,Orange juice per litre,Euro,1.58
National Average Price,2016 March,Whiskey - take home (70cl bottle),Euro,25.935
National Average Price,2016 March,Brandy - take home (70cl bottle),Euro,29.964
National Average Price,2016 March,Vodka - take home (70cl bottle),Euro,19.176
National Average Price,2016 March,Cream liqueur - take home (70cl bottle),Euro,15.003
National Average Price,2016 March,Wine - take home (75cl bottle),Euro,10.504
National Average Price,2016 March,Cider - take home (50cl can),Euro,2.245
National Average Price,2016 March,Sherry - take home (75cl bottle),Euro,14.308
National Average Price,2016 March,Lager - take home (50cl can),Euro,1.901
National Average Price,2016 March,Stout - take home (50cl can),Euro,2.223
National Average Price,2016 March,Filtered cigarettes per 20 pk,Euro,10.507
National Average Price,2016 March,Stout - draught bar (1 pint),Euro,4.321
National Average Price,2016 March,Lager - draught bar (1 pint),Euro,4.7
National Average Price,2016 March,Lager - bar (33cl bottle),Euro,4.613
National Average Price,2016 March,Cider - draught bar (1 pint),Euro,4.762
National Average Price,2016 March,Ale - draught bar (1 pint),Euro,4.377
National Average Price,2016 March,Cider - bar (33cl bottle),Euro,4.735
National Average Price,2016 March,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.292
National Average Price,2016 March,Whiskey - bar (single) per ½ glass,Euro,4.11
National Average Price,2016 March,Brandy - bar (single) per ½ glass,Euro,4.621
National Average Price,2016 March,Vodka - bar (single) per ½ glass,Euro,4.147
National Average Price,2016 March,Wine - bar (187ml bottle),Euro,5.355
National Average Price,2016 March,Diesel per litre,Euro,1.07
National Average Price,2016 March,Petrol - unleaded per litre,Euro,1.21
National Average Price,2016 March,Cinema fee,Euro,9.159
National Average Price,2016 March,Nightclubs fee,Euro,9.109
National Average Price,2016 March,Gent's dry cut fee,Euro,11.915
National Average Price,2016 March,"Gent's wash, cut, and blow dry fee",Euro,17.823
National Average Price,2016 March,"Ladies' wash, cut and blow dry fee",Euro,38.266
National Average Price,2016 April,"White, self raising flour per 2 kg",Euro,2.41
National Average Price,2016 April,"Brown, wholemeal flour per 2 kg",Euro,3.041
National Average Price,2016 April,"Bread, white sliced pan, large (800g)",Euro,1.264
National Average Price,2016 April,"Bread, brown sliced pan, large (800g)",Euro,1.346
National Average Price,2016 April,Spaghetti per 500g,Euro,1.147
National Average Price,2016 April,Sirloin steak per kg,Euro,15.8
National Average Price,2016 April,Striploin steak per kg,Euro,21.298
National Average Price,2016 April,Roast beef - topside or rib per kg,Euro,13.675
National Average Price,2016 April,Sliced / diced beef pieces per kg,Euro,9.837
National Average Price,2016 April,Pork loin chops per kg,Euro,8.357
National Average Price,2016 April,Pork steak per kg,Euro,8.761
National Average Price,2016 April,Lamb - whole leg / half leg per kg,Euro,11.811
National Average Price,2016 April,Lamb loin chops per kg,Euro,16.904
National Average Price,2016 April,Lamb gigot chops per kg,Euro,12.628
National Average Price,2016 April,Uncooked chicken medium size 1.6kg,Euro,4.828
National Average Price,2016 April,Lamb's liver per kg,Euro,5.885
National Average Price,2016 April,Ham fillet per kg,Euro,5.8
National Average Price,2016 April,Cooked ham per kg,Euro,17.604
National Average Price,2016 April,Best back rashers per kg,Euro,10.022
National Average Price,2016 April,Pork sausages per kg,Euro,5.97
National Average Price,2016 April,Fresh fillet of whiting per kg,Euro,11.02
National Average Price,2016 April,Fresh fillet of cod per kg,Euro,15.156
National Average Price,2016 April,Fresh salmon per kg,Euro,19.944
National Average Price,2016 April,Fresh fillet of plaice per kg,Euro,18.41
National Average Price,2016 April,Fresh hake per kg,Euro,
National Average Price,2016 April,Smoked salmon per kg,Euro,28.544
National Average Price,2016 April,Full fat milk per 2 litre,Euro,1.712
National Average Price,2016 April,Low fat milk per 1 litre,Euro,1.052
National Average Price,2016 April,Irish cheddar per kg,Euro,10.453
National Average Price,2016 April,Large eggs per half dozen,Euro,1.785
National Average Price,2016 April,Medium eggs per half dozen,Euro,1.529
National Average Price,2016 April,Butter per lb,Euro,2.7
National Average Price,2016 April,Grapes per kg,Euro,5.07
National Average Price,2016 April,Bananas per kg,Euro,1.393
National Average Price,2016 April,Tomatoes per kg,Euro,2.958
National Average Price,2016 April,Onions per kg,Euro,1.066
National Average Price,2016 April,Broccoli per kg,Euro,3.12
National Average Price,2016 April,Carrots per kg,Euro,1.2
National Average Price,2016 April,Mushrooms per kg,Euro,4.316
National Average Price,2016 April,Tomatoes tinned per 400g,Euro,0.934
National Average Price,2016 April,Potatoes 2.5 kg,Euro,3.082
National Average Price,2016 April,Potatoes 7.5 kg,Euro,
National Average Price,2016 April,Potatoes 10 kg,Euro,7.296
National Average Price,2016 April,White granulated sugar per 1 kg,Euro,1.283
National Average Price,2016 April,Jam per lb,Euro,1.362
National Average Price,2016 April,Marmalade per lb,Euro,1.874
National Average Price,2016 April,Tea bags per 80,Euro,2.795
National Average Price,2016 April,Orange juice per litre,Euro,1.552
National Average Price,2016 April,Whiskey - take home (70cl bottle),Euro,25.943
National Average Price,2016 April,Brandy - take home (70cl bottle),Euro,31.201
National Average Price,2016 April,Vodka - take home (70cl bottle),Euro,19.403
National Average Price,2016 April,Cream liqueur - take home (70cl bottle),Euro,17.086
National Average Price,2016 April,Wine - take home (75cl bottle),Euro,10.586
National Average Price,2016 April,Cider - take home (50cl can),Euro,2.146
National Average Price,2016 April,Sherry - take home (75cl bottle),Euro,14.254
National Average Price,2016 April,Lager - take home (50cl can),Euro,1.884
National Average Price,2016 April,Stout - take home (50cl can),Euro,2.197
National Average Price,2016 April,Filtered cigarettes per 20 pk,Euro,10.633
National Average Price,2016 April,Stout - draught bar (1 pint),Euro,4.325
National Average Price,2016 April,Lager - draught bar (1 pint),Euro,4.707
National Average Price,2016 April,Lager - bar (33cl bottle),Euro,4.627
National Average Price,2016 April,Cider - draught bar (1 pint),Euro,4.779
National Average Price,2016 April,Ale - draught bar (1 pint),Euro,4.381
National Average Price,2016 April,Cider - bar (33cl bottle),Euro,4.751
National Average Price,2016 April,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.297
National Average Price,2016 April,Whiskey - bar (single) per ½ glass,Euro,4.12
National Average Price,2016 April,Brandy - bar (single) per ½ glass,Euro,4.621
National Average Price,2016 April,Vodka - bar (single) per ½ glass,Euro,4.16
National Average Price,2016 April,Wine - bar (187ml bottle),Euro,5.344
National Average Price,2016 April,Diesel per litre,Euro,1.109
National Average Price,2016 April,Petrol - unleaded per litre,Euro,1.262
National Average Price,2016 April,Cinema fee,Euro,9.175
National Average Price,2016 April,Nightclubs fee,Euro,9.343
National Average Price,2016 April,Gent's dry cut fee,Euro,11.964
National Average Price,2016 April,"Gent's wash, cut, and blow dry fee",Euro,17.891
National Average Price,2016 April,"Ladies' wash, cut and blow dry fee",Euro,38.187
National Average Price,2016 May,"White, self raising flour per 2 kg",Euro,2.377
National Average Price,2016 May,"Brown, wholemeal flour per 2 kg",Euro,3.031
National Average Price,2016 May,"Bread, white sliced pan, large (800g)",Euro,1.266
National Average Price,2016 May,"Bread, brown sliced pan, large (800g)",Euro,1.341
National Average Price,2016 May,Spaghetti per 500g,Euro,1.092
National Average Price,2016 May,Sirloin steak per kg,Euro,16.249
National Average Price,2016 May,Striploin steak per kg,Euro,22.674
National Average Price,2016 May,Roast beef - topside or rib per kg,Euro,13.696
National Average Price,2016 May,Sliced / diced beef pieces per kg,Euro,10.42
National Average Price,2016 May,Pork loin chops per kg,Euro,7.752
National Average Price,2016 May,Pork steak per kg,Euro,9.172
National Average Price,2016 May,Lamb - whole leg / half leg per kg,Euro,12.454
National Average Price,2016 May,Lamb loin chops per kg,Euro,17.02
National Average Price,2016 May,Lamb gigot chops per kg,Euro,12.563
National Average Price,2016 May,Uncooked chicken medium size 1.6kg,Euro,4.825
National Average Price,2016 May,Lamb's liver per kg,Euro,5.89
National Average Price,2016 May,Ham fillet per kg,Euro,5.655
National Average Price,2016 May,Cooked ham per kg,Euro,17.433
National Average Price,2016 May,Best back rashers per kg,Euro,9.471
National Average Price,2016 May,Pork sausages per kg,Euro,5.957
National Average Price,2016 May,Fresh fillet of whiting per kg,Euro,10.939
National Average Price,2016 May,Fresh fillet of cod per kg,Euro,14.636
National Average Price,2016 May,Fresh salmon per kg,Euro,19.432
National Average Price,2016 May,Fresh fillet of plaice per kg,Euro,19.312
National Average Price,2016 May,Fresh hake per kg,Euro,
National Average Price,2016 May,Smoked salmon per kg,Euro,29.198
National Average Price,2016 May,Full fat milk per 2 litre,Euro,1.708
National Average Price,2016 May,Low fat milk per 1 litre,Euro,1.049
National Average Price,2016 May,Irish cheddar per kg,Euro,10.046
National Average Price,2016 May,Large eggs per half dozen,Euro,1.775
National Average Price,2016 May,Medium eggs per half dozen,Euro,1.517
National Average Price,2016 May,Butter per lb,Euro,2.689
National Average Price,2016 May,Grapes per kg,Euro,5.111
National Average Price,2016 May,Bananas per kg,Euro,1.396
National Average Price,2016 May,Tomatoes per kg,Euro,2.946
National Average Price,2016 May,Onions per kg,Euro,1.091
National Average Price,2016 May,Broccoli per kg,Euro,3.096
National Average Price,2016 May,Carrots per kg,Euro,1.266
National Average Price,2016 May,Mushrooms per kg,Euro,4.268
National Average Price,2016 May,Tomatoes tinned per 400g,Euro,0.89
National Average Price,2016 May,Potatoes 2.5 kg,Euro,3.057
National Average Price,2016 May,Potatoes 7.5 kg,Euro,
National Average Price,2016 May,Potatoes 10 kg,Euro,7.22
National Average Price,2016 May,White granulated sugar per 1 kg,Euro,1.284
National Average Price,2016 May,Jam per lb,Euro,1.375
National Average Price,2016 May,Marmalade per lb,Euro,1.97
National Average Price,2016 May,Tea bags per 80,Euro,2.699
National Average Price,2016 May,Orange juice per litre,Euro,1.53
National Average Price,2016 May,Whiskey - take home (70cl bottle),Euro,25.801
National Average Price,2016 May,Brandy - take home (70cl bottle),Euro,31.111
National Average Price,2016 May,Vodka - take home (70cl bottle),Euro,19.131
National Average Price,2016 May,Cream liqueur - take home (70cl bottle),Euro,16.94
National Average Price,2016 May,Wine - take home (75cl bottle),Euro,10.182
National Average Price,2016 May,Cider - take home (50cl can),Euro,2.169
National Average Price,2016 May,Sherry - take home (75cl bottle),Euro,14.187
National Average Price,2016 May,Lager - take home (50cl can),Euro,1.896
National Average Price,2016 May,Stout - take home (50cl can),Euro,2.199
National Average Price,2016 May,Filtered cigarettes per 20 pk,Euro,10.652
National Average Price,2016 May,Stout - draught bar (1 pint),Euro,4.323
National Average Price,2016 May,Lager - draught bar (1 pint),Euro,4.703
National Average Price,2016 May,Lager - bar (33cl bottle),Euro,4.63
National Average Price,2016 May,Cider - draught bar (1 pint),Euro,4.779
National Average Price,2016 May,Ale - draught bar (1 pint),Euro,4.379
National Average Price,2016 May,Cider - bar (33cl bottle),Euro,4.754
National Average Price,2016 May,Flavoured alcoholic drink - bar (275ml bottle),Euro,5.319
National Average Price,2016 May,Whiskey - bar (single) per ½ glass,Euro,4.127
National Average Price,2016 May,Brandy - bar (single) per ½ glass,Euro,4.625
National Average Price,2016 May,Vodka - bar (single) per ½ glass,Euro,4.167
